S.No.,Year,Name,CTC,CTC_LPA,CSE,CSM,ECE,EEE,IT,MECH,CIVIL,Total
56,2021,Larsen & Toubro Infotech Ltd.,Rs.6.50 Lakhs p.a.,6.5,5,0,6,1,9,1,0,22
57,2021,Accenture - AASE,Rs.6.50 Lakhs p.a.,6.5,4,0,13,4,5,3,1,30
58,2021,Modak Analytics,Internship 12 K per month & Employment Rs 6.00 Lakhs p.a,6,2,0,8,0,7,0,0,17
59,2021,Principal Global Services,Internship 15 K per month & Employment Rs.6.00 Lakhs p.a.,6,0,0,0,1,0,3,0,4
60,2021,SpringML,Internship 15 K per month & Employment Rs.6.00 Lakhs p.a.,6,7,0,5,0,5,0,0,17
61,2021,Epam,Internship 15 K per month & Employment Rs.6.00 Lakhs p.a.,6,0,0,1,0,0,0,0,1
62,2021,IHS Markit,Rs.6.00 Lakhs p.a.,6,2,0,0,0,0,0,0,2
63,2021,PwC Acceleration Center,Rs.6.00 Lakhs p.a,6,0,0,1,0,1,0,0,2
64,2021,TechnipFMC | FMC Technologies India Pvt Ltd.,Rs 6.00 Lakhs p.a,6,0,0,0,0,0,5,0,5
65,2021,EnergyTech Global,Internship 15 K per month & Employment Rs 6.00 Lakhs p.a,6,4,0,10,0,8,0,0,22
66,2021,Infosys through - #HackwithInfy,Rs.5.00 Lakhs p.a.,5,13,0,3,1,12,0,0,29
67,2021,Larsen & Toubro Infotech Ltd.,Rs.5.00 Lakhs p.a.,5,8,0,10,3,6,2,0,29
68,2021,PK Global,Rs.5.00 Lakhs p.a.,5,1,0,1,1,0,0,0,3
69,2021,AiZen Algo Pvt. Ltd.,Rs.5.00 Lakhs p.a.,5,1,0,0,0,0,2,0,3
70,2021,TA Digital,Rs.5.00 Lakhs p.a.,5,1,0,0,0,1,0,0,2
71,2021,BizAcuity Solutions Pvt Ltd,Internship 25 K per month & Employment Rs.5.00 Lakhs p.a.,5,0,0,0,3,0,2,0,5
72,2021,Bosch Global Software Technologies Pvt Ltd,Rs 5.00 Lakhs p.a,5,1,0,1,6,1,0,0,9
73,2021,ZF Tech Center India,Rs 5.00 Lakhs p.a,5,0,0,2,1,0,0,0,3
74,2021,Inncircles Technologies Private Limited,Internship 18 K per month & Employment Rs.5.00 Lakhs p.a.,5,0,0,0,0,0,0,1,1
75,2021,Cognizant Elevate,Rs 4.00 Lakhs p.a + Bonus,4,24,0,22,4,17,2,0,69
76,2021,Ernst & Young LLP,Rs 4.50 Lakhs p.a,4.5,2,0,4,0,2,0,0,8
77,2021,Accenture - ASE,Rs.4.50 Lakhs p.a.,4.5,14,0,30,12,21,13,5,95
78,2021,Hyundai MOBIS,Rs.4.50 Lakhs p.a.,4.5,0,0,0,1,0,2,0,3
79,2021,Amazon - RME,Rs 4.50 Lakhs p.a,4.5,0,0,0,1,0,3,0,4
80,2021,Medha Servo Drives Pvt. Ltd.,Rs.4.48 Lakhs p.a.,4.48,0,0,0,1,0,0,0,1
81,2021,Infosys through - #HackwithInfy,Rs.4.46 Lakhs p.a.,4.46,10,0,3,0,9,0,0,22
82,2021,Cognizant Gen C,Rs 4.00 Lakhs p.a,4,11,0,19,11,13,34,14,102
83,2021,Zensar Technologies,Rs 4.00 Lakhs p.a,4,0,0,5,0,0,0,0,5
84,2021,TCS - Ninja,Rs.3.50 Lakhs p.a.,3.5,15,0,26,22,28,5,6,102
85,2021,Wipro,Rs.3.50 Lakhs p.a.,3.5,3,0,5,5,3,11,5,32
86,2021,Mediamint,Internship 15 K per month & Employment Rs.3.19 Lakhs p.a.,3.19,0,0,1,1,2,9,4,17
87,2021,Vaaluka Solutions Pvt. Ltd,Internship 15 K per month & Employment Rs.3.00 Lakhs p.a.,3,0,0,6,0,0,0,0,6
88,2021,AXISCADES Engineering Technologies Ltd,Internship 8 K per month & Employment Rs.3.00 Lakhs p.a.,3,0,0,0,2,0,6,0,8
89,2021,My Home Constructions,Rs.2.40 Lakhs p.a.,2.4,0,0,0,0,0,0,4,4
1,2022,Adobe,"Rs.19.00 Lakhs p.a. + 27,000$ as stock options",19,1,0,0,0,0,0,0,1
2,2022,Google (USA & India),"Rs. 1.34 Cr. PA, Rs. 30 LPA",30,1,0,0,0,2,0,0,3
3,2022,Amazon,"Rs.19.00 Lakhs p.a. + 19,000$ as stock options",19,0,0,0,0,2,0,0,2
5,2022,CISCO,Internship 98K per month & Employment Rs. 23.60 Lakhs,23.6,4,0,2,0,3,0,0,9
6,2022,Atlassian,Rs. 20.8 LPA + bonus + 2.50 L Stocks + 75000 US dollars,20.8,0,0,0,0,1,0,0,1
